HourUTC,PriceArea,product,amount,PriceDKK,PriceEUR
2019-05-08T10:00:00+00:00,SE3,Elspot,1,321.23,43.03
2019-05-08T10:00:00+00:00,NO2,Elspot,1,321.23,43.03
2019-05-08T10:00:00+00:00,DK2,Elspot,1,320.78,42.97
2019-05-08T10:00:00+00:00,DK1,Elspot,1,320.78,42.97
2019-05-08T09:00:00+00:00,SYSTEM,Elspot,1,325.49,43.6
2019-05-08T09:00:00+00:00,SE4,Elspot,1,325.49,43.6
2019-05-08T09:00:00+00:00,SE3,Elspot,1,325.49,43.6
2019-05-08T09:00:00+00:00,NO2,Elspot,1,325.49,43.6
2019-05-08T09:00:00+00:00,DK2,Elspot,1,324.74,43.5
2019-05-08T09:00:00+00:00,DK1,Elspot,1,324.74,43.5
2019-05-08T08:00:00+00:00,SYSTEM,Elspot,1,333.4,44.66
2019-05-08T08:00:00+00:00,SE4,Elspot,1,333.4,44.66
2019-05-08T08:00:00+00:00,SE3,Elspot,1,333.4,44.66
2019-05-08T08:00:00+00:00,NO2,Elspot,1,333.4,44.66
2019-05-08T08:00:00+00:00,DK2,Elspot,1,333.4,44.66
2019-05-08T08:00:00+00:00,DK1,Elspot,1,333.4,44.66
2019-05-08T07:00:00+00:00,SYSTEM,Elspot,1,343.7,46.04
2019-05-08T07:00:00+00:00,SE4,Elspot,1,343.7,46.04
2019-05-08T07:00:00+00:00,SE3,Elspot,1,343.7,46.04
2019-05-08T07:00:00+00:00,NO2,Elspot,1,343.7,46.04
2019-05-08T07:00:00+00:00,DK2,Elspot,1,344.9,46.2
2019-05-08T07:00:00+00:00,DK1,Elspot,1,344.9,46.2
2019-05-08T06:00:00+00:00,SYSTEM,Elspot,1,358.11,47.97
2019-05-08T06:00:00+00:00,SE4,Elspot,1,358.04,47.96
2019-05-08T06:00:00+00:00,SE3,Elspot,1,358.04,47.96
2019-05-08T06:00:00+00:00,NO2,Elspot,1,358.04,47.96
2019-05-08T06:00:00+00:00,DK2,Elspot,1,365.95,49.02
2019-05-08T06:00:00+00:00,DK1,Elspot,1,365.95,49.02
2019-05-08T05:00:00+00:00,SYSTEM,Elspot,1,357.66,47.91
2019-05-08T05:00:00+00:00,SE4,Elspot,1,357.74,47.92
2019-05-08T05:00:00+00:00,SE3,Elspot,1,357.74,47.92
2019-05-08T05:00:00+00:00,NO2,Elspot,1,354.75,47.52
2019-05-08T05:00:00+00:00,DK2,Elspot,1,369.08,49.44
2019-05-08T05:00:00+00:00,DK1,Elspot,1,369.08,49.44
2019-05-08T04:00:00+00:00,SYSTEM,Elspot,1,329.07,44.08
2019-05-08T04:00:00+00:00,SE4,Elspot,1,328.7,44.03
2019-05-08T04:00:00+00:00,SE3,Elspot,1,328.7,44.03
2019-05-08T04:00:00+00:00,NO2,Elspot,1,328.7,44.03
2019-05-08T04:00:00+00:00,DK2,Elspot,1,330.94,44.33
2019-05-08T04:00:00+00:00,DK1,Elspot,1,330.94,44.33
2019-05-08T03:00:00+00:00,SYSTEM,Elspot,1,313.62,42.01
2019-05-08T03:00:00+00:00,SE4,Elspot,1,312.12,41.81
2019-05-08T03:00:00+00:00,SE3,Elspot,1,312.12,41.81
2019-05-08T03:00:00+00:00,NO2,Elspot,1,314.66,42.15
2019-05-08T03:00:00+00:00,DK2,Elspot,1,309.14,41.41
2019-05-08T03:00:00+00:00,DK1,Elspot,1,309.14,41.41
2019-05-08T02:00:00+00:00,SYSTEM,Elspot,1,305.78,40.96
2019-05-08T02:00:00+00:00,SE4,Elspot,1,299.96,40.18
2019-05-08T02:00:00+00:00,SE3,Elspot,1,299.96,40.18
