HourUTC,product,amount,PriceArea,PriceDKK,PriceEUR
2019-05-06T02:00:00+00:00,aFRR_UpActivated,32.7,DK1,346.85,46.46
2019-05-06T01:00:00+00:00,aFRR_DownActivated,5.5,DK1,148.94,19.95
2019-05-06T01:00:00+00:00,aFRR_UpActivated,20.1,DK1,348.87,46.73
2019-05-06T00:00:00+00:00,aFRR_DownActivated,0.4,DK1,160.73,21.53
2019-05-06T00:00:00+00:00,aFRR_UpActivated,16.7,DK1,360.66,48.31
2019-05-05T23:00:00+00:00,aFRR_DownActivated,4.6,DK1,161.26,21.6
2019-05-05T23:00:00+00:00,aFRR_UpActivated,5.1,DK1,361.19,48.38
2019-05-05T22:00:00+00:00,aFRR_DownActivated,20.4,DK1,182.98,24.51
2019-05-05T22:00:00+00:00,aFRR_UpActivated,1.5,DK1,382.91,51.29
2019-05-05T21:00:00+00:00,aFRR_DownActivated,6.8,DK1,196.49,26.32
2019-05-05T21:00:00+00:00,aFRR_UpActivated,28.1,DK1,396.42,53.1
2019-05-05T20:00:00+00:00,aFRR_DownActivated,4.3,DK1,216.13,28.95
2019-05-05T20:00:00+00:00,aFRR_UpActivated,31.7,DK1,416.06,55.73
2019-05-05T19:00:00+00:00,aFRR_DownActivated,0,DK1,208.44,27.92
2019-05-05T19:00:00+00:00,aFRR_UpActivated,82.8,DK1,408.37,54.7
2019-05-05T18:00:00+00:00,aFRR_DownActivated,1,DK1,208.51,27.93
2019-05-05T18:00:00+00:00,aFRR_UpActivated,33.9,DK1,408.44,54.71
2019-05-05T17:00:00+00:00,aFRR_DownActivated,0,DK1,187.24,25.08
2019-05-05T17:00:00+00:00,aFRR_UpActivated,68.2,DK1,387.17,51.86
2019-05-05T16:00:00+00:00,aFRR_DownActivated,74.1,DK1,142.22,19.05
2019-05-05T16:00:00+00:00,aFRR_UpActivated,4,DK1,342.15,45.83
2019-05-05T15:00:00+00:00,aFRR_DownActivated,0,DK1,129.23,17.31
2019-05-05T15:00:00+00:00,aFRR_UpActivated,91.1,DK1,329.16,44.09
2019-05-05T14:00:00+00:00,aFRR_DownActivated,0,DK1,62.19,8.33
2019-05-05T14:00:00+00:00,aFRR_UpActivated,75.9,DK1,328.49,44
2019-05-05T13:00:00+00:00,aFRR_DownActivated,18.1,DK1,17.32,2.32
2019-05-05T13:00:00+00:00,aFRR_UpActivated,18.1,DK1,328.49,44
2019-05-05T12:00:00+00:00,aFRR_DownActivated,13.8,DK1,-25.01,-3.35
2019-05-05T12:00:00+00:00,aFRR_UpActivated,34.8,DK1,220.31,29.51
2019-05-05T11:00:00+00:00,aFRR_DownActivated,56.4,DK1,-73.98,-9.91
2019-05-05T11:00:00+00:00,aFRR_UpActivated,0,DK1,297.06,39.79
2019-05-05T10:00:00+00:00,aFRR_DownActivated,97,DK1,-83.61,-11.2
2019-05-05T10:00:00+00:00,aFRR_UpActivated,0,DK1,309.67,41.48
2019-05-05T09:00:00+00:00,aFRR_DownActivated,26.9,DK1,-78.99,-10.58
2019-05-05T09:00:00+00:00,aFRR_UpActivated,8.3,DK1,314.45,42.12
2019-05-05T08:00:00+00:00,aFRR_DownActivated,3,DK1,112.51,15.07
2019-05-05T08:00:00+00:00,aFRR_UpActivated,21.6,DK1,312.44,41.85
2019-05-05T07:00:00+00:00,aFRR_DownActivated,76.3,DK1,126.17,16.9
2019-05-05T07:00:00+00:00,aFRR_UpActivated,0,DK1,335.65,44.96
2019-05-05T06:00:00+00:00,aFRR_DownActivated,72.7,DK1,129.23,17.31
2019-05-05T06:00:00+00:00,aFRR_UpActivated,0,DK1,335.65,44.96
2019-05-05T05:00:00+00:00,aFRR_DownActivated,5.4,DK1,116.61,15.62
2019-05-05T05:00:00+00:00,aFRR_UpActivated,19,DK1,316.54,42.4
2019-05-05T04:00:00+00:00,aFRR_DownActivated,24.9,DK1,109.45,14.66
2019-05-05T04:00:00+00:00,aFRR_UpActivated,1.1,DK1,309.37,41.44
2019-05-05T03:00:00+00:00,aFRR_DownActivated,7.2,DK1,108.62,14.55
2019-05-05T03:00:00+00:00,aFRR_UpActivated,20.9,DK1,308.55,41.33
2019-05-05T02:00:00+00:00,aFRR_DownActivated,0.6,DK1,116.84,15.65
2019-05-05T02:00:00+00:00,aFRR_UpActivated,33.7,DK1,316.77,42.43
2019-05-05T01:00:00+00:00,aFRR_DownActivated,75,DK1,115.79,15.51
2019-05-05T01:00:00+00:00,aFRR_UpActivated,0,DK1,315.72,42.29
2019-05-05T00:00:00+00:00,aFRR_DownActivated,20.3,DK1,116.84,15.65
2019-05-05T00:00:00+00:00,aFRR_UpActivated,3.1,DK1,316.77,42.43
2019-05-04T23:00:00+00:00,aFRR_DownActivated,1.7,DK1,139.08,18.63
2019-05-04T23:00:00+00:00,aFRR_UpActivated,42.8,DK1,339.01,45.41
2019-05-04T22:00:00+00:00,aFRR_DownActivated,83.4,DK1,162.75,21.8
2019-05-04T22:00:00+00:00,aFRR_UpActivated,0,DK1,362.68,48.58
2019-05-04T21:00:00+00:00,aFRR_DownActivated,98.7,DK1,230.76,30.91
2019-05-04T21:00:00+00:00,aFRR_UpActivated,0,DK1,430.69,57.69
2019-05-04T20:00:00+00:00,aFRR_DownActivated,50.6,DK1,242.86,32.53
2019-05-04T20:00:00+00:00,aFRR_UpActivated,1,DK1,442.78,59.31
2019-05-04T19:00:00+00:00,aFRR_DownActivated,3.5,DK1,239.72,32.11
2019-05-04T19:00:00+00:00,aFRR_UpActivated,43.5,DK1,439.65,58.89
2019-05-04T18:00:00+00:00,aFRR_DownActivated,0.5,DK1,234.57,31.42
2019-05-04T18:00:00+00:00,aFRR_UpActivated,80.7,DK1,434.5,58.2
2019-05-04T17:00:00+00:00,aFRR_DownActivated,2.9,DK1,235.02,31.48
2019-05-04T17:00:00+00:00,aFRR_UpActivated,23.5,DK1,434.95,58.26
2019-05-04T16:00:00+00:00,aFRR_DownActivated,0,DK1,209.11,28.01
2019-05-04T16:00:00+00:00,aFRR_UpActivated,60.5,DK1,409.04,54.79
2019-05-04T15:00:00+00:00,aFRR_DownActivated,0,DK1,180.29,24.15
2019-05-04T15:00:00+00:00,aFRR_UpActivated,87.9,DK1,380.22,50.93
2019-05-04T14:00:00+00:00,aFRR_DownActivated,3,DK1,-90.33,-12.1
