id,Timestamp,Area,Product,Amount,Price_DKK,Price_EUR
156,2019-04-24T18:00:00+00:00,DK1,aFRR_UpActivated,0,415.61,55.67
157,2019-04-24T17:00:00+00:00,DK1,aFRR_DownActivated,71,217.77,29.17
158,2019-04-24T17:00:00+00:00,DK1,aFRR_UpActivated,0,417.7,55.95
159,2019-04-24T16:00:00+00:00,DK1,aFRR_DownActivated,55,235.32,31.52
160,2019-04-24T16:00:00+00:00,DK1,aFRR_UpActivated,0,435.24,58.3
161,2019-04-24T15:00:00+00:00,DK1,aFRR_DownActivated,91.9,205.98,27.59
162,2019-04-24T15:00:00+00:00,DK1,aFRR_UpActivated,0,405.9,54.37
163,2019-04-24T14:00:00+00:00,DK1,aFRR_DownActivated,3,154.02,20.63
164,2019-04-24T14:00:00+00:00,DK1,aFRR_UpActivated,4.2,353.94,47.41
165,2019-04-24T13:00:00+00:00,DK1,aFRR_DownActivated,52.1,132.81,17.79
166,2019-04-24T13:00:00+00:00,DK1,aFRR_UpActivated,5.2,332.74,44.57
167,2019-04-24T12:00:00+00:00,DK1,aFRR_DownActivated,54.2,135.95,18.21
168,2019-04-24T12:00:00+00:00,DK1,aFRR_UpActivated,0,335.88,44.99
169,2019-04-24T11:00:00+00:00,DK1,aFRR_DownActivated,71,142.82,19.13
170,2019-04-24T11:00:00+00:00,DK1,aFRR_UpActivated,0,342.75,45.91
171,2019-04-24T10:00:00+00:00,DK1,aFRR_DownActivated,58.5,123.93,16.6
172,2019-04-24T10:00:00+00:00,DK1,aFRR_UpActivated,12.5,326.25,43.7
173,2019-04-24T09:00:00+00:00,DK1,aFRR_DownActivated,32.9,157.08,21.04
174,2019-04-24T09:00:00+00:00,DK1,aFRR_UpActivated,39.7,357,47.82
175,2019-04-24T08:00:00+00:00,DK1,aFRR_DownActivated,0.1,190.07,25.46
176,2019-04-24T08:00:00+00:00,DK1,aFRR_UpActivated,85.7,390,52.24
177,2019-04-24T07:00:00+00:00,DK1,aFRR_DownActivated,4.2,213.37,28.58
